date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:01	87295/87295	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2014:09:54%20GMT	https://www.w3schools.com/bootstrap/default.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/default.html	(from )
00:17:02	126/126	---M--	200	added ('OK')	text/plain	etag:%220e5247ea1b0d81:0%22	https://www.w3schools.com/robots.txt		(from )
00:17:02	121200/121200	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:03:59%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/leducphi/Desktop/Bootstrap3/bt3/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:03	86596/86596	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.0/jquery.min.js	C:/Users/leducphi/Desktop/Bootstrap3/bt3/ajax.googleapis.com/ajax/libs/jquery/3.2.0/jquery.min.js	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:03	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:00%20GMT	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/leducphi/Desktop/Bootstrap3/bt3/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:03	62752/62752	---M-Z	200	added ('OK')	text/css	etag:%220e5247ea1b0d81:0%22	https://www.w3schools.com/lib/w3schools30.css	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/lib/w3schools30.css	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:04	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2015%20Aug%202022%2017:17:03%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.googletagmanager.com/gtm.55445.delayed	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:04	74116/74116	---M--	200	added ('OK')	application/javascript	etag:%220e5247ea1b0d81:0%22	https://www.w3schools.com/lib/uic.js?v=1.0.5	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/lib/uic3447.js	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:04	14208/14208	---MCZ	200	added ('OK')	application/javascript	etag:W/%223780-5e5f60dfd1661%22	https://cdn.snigelweb.com/adengine/w3schools.com/loader.js	C:/Users/leducphi/Desktop/Bootstrap3/bt3/cdn.snigelweb.com/adengine/w3schools.com/loader.js	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:05	21673/21673	---M-Z	200	added ('OK')	application/javascript	etag:%220e5247ea1b0d81:0%22	https://www.w3schools.com/lib/my-learning.js?v=1.0.10	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/lib/my-learning008c.js	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:05	631/631	---M-Z	200	added ('OK')	text/css	etag:%220e5247ea1b0d81:0+gzip%22	https://www.w3schools.com/bootstrap/w3-fix.css	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/w3-fix.css	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:06	55935/55935	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2014:01:54%20GMT	https://www.w3schools.com/bootstrap/bootstrap_ver.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/bootstrap_ver.html	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:06	165975/165975	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2014:35:02%20GMT	https://www.w3schools.com/bootstrap/bootstrap_ref_all_classes.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/bootstrap_ref_all_classes.html	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:07	80030/80030	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2016:40:58%20GMT	https://www.w3schools.com/bootstrap/bootstrap_exercises.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/bootstrap_exercises.html	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:07	78479/78479	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2016:17:49%20GMT	https://www.w3schools.com/bootstrap/bootstrap_quiz.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/bootstrap_quiz.html	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:08	88641/88641	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2014:13:56%20GMT	https://www.w3schools.com/bootstrap/bootstrap_get_started.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/bootstrap_get_started.html	(from https://www.w3schools.com/bootstrap/default.asp)
00:17:08	82582/82582	---M-Z	200	added ('OK')	text/html	date:Mon,%2015%20Aug%202022%2014:42:18%20GMT	https://www.w3schools.com/bootstrap/bootstrap_grid_basic.asp	C:/Users/leducphi/Desktop/Bootstrap3/bt3/www.w3schools.com/bootstrap/bootstrap_grid_basic.html	(from https://www.w3schools.com/bootstrap/default.asp)
